Generation,Solution,Collected Targets,Fitness Score,Time
3,1,0,0.09857634562552517,47.76666666666667
3,2,0,0.11403417690903869,46.71666666666666
3,3,0,0.09566473060789824,44.66666666666667
3,4,1,0.10838573501568946,50.23333333333332
3,5,0,0.10055761617195669,48.633333333333326
3,6,1,0.09538606896565185,44.6
3,7,0,0.10703692945420522,48.166666666666664
3,8,0,0.09947920335250277,46.45
3,9,1,0.10289836983215699,40.766666666666666
3,10,0,0.09356653846020992,47.45
3,11,1,0.11833109167144376,56.15
3,12,1,0.1004863195666105,46.86666666666667
3,13,1,0.10781523392873607,47.949999999999996
3,14,0,0.10982140946986377,44.53333333333334
3,15,0,0.10261577755514581,48.650000000000006
3,16,1,0.1144790329119489,52.4
3,17,0,0.09608712930415311,41.366666666666674
3,18,0,0.11848273347935359,50.91666666666666
3,19,1,0.10666621970877058,48.383333333333326
3,20,1,0.11179524653896653,49.89999999999999
3,21,2,0.12994311055658078,55.85
3,22,2,0.11103267474183967,45.75000000000001
